left_wrist_angle,right_wrist_angle,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle,left_hip_angle,right_hip_angle,target
209.12405349477743,198.3056131971992,190.68151759748775,192.153145534976,167.55237647953984,188.9565317301024,183.80722148471557,185.88728857114,279.4371324074281,274.48854660139006,52.63543295319056,126.57303097851934,downdog
210.96375653207352,211.4295656148385,197.71074298875607,196.09971274847732,182.36660391916587,171.21581255591894,176.6831108564238,183.43890832290293,273.11661302946743,269.6645484493459,134.5544741468017,41.56109167709709,downdog
213.33219722976864,213.1646520129497,181.7468418770597,185.25907561969785,184.4866435550456,173.13585843868543,132.16036805320235,137.1647012036492,265.259949762585,260.8926656877456,120.79855290741688,56.509221338209,downdog
210.9728352484471,191.25968772263823,189.75171779005743,197.36676295031148,180.09762433816115,177.88308135530994,180.8337674551364,186.6853686671973,230.264198457766,236.32602076810684,101.4166946725318,72.12996271585794,downdog
158.60128123688682,144.8557568152251,170.4078335495854,174.57528249768842,168.85937491633194,190.19642050561396,183.4409991090693,182.8251136168848,85.11445958905009,85.4657236953788,100.91968861721756,77.99222408726516,downdog
203.72503002829328,211.1593045083444,199.53007526664683,193.5194141141294,179.52970838090295,180.95087998593647,182.46129753869397,187.84049772415008,262.04155151130345,256.4893911385312,35.63980919808667,142.0457691248675,downdog
200.22485943116808,200.8482852557719,194.54703926208893,192.05991976096888,181.85269707811884,176.2779423657687,181.51066632906915,181.3599056596458,270.35857418008646,259.74407155375155,35.45547443444186,146.05519189462728,downdog
232.27345852701148,168.98952009299643,182.36407958591948,178.80736710479542,68.42009371237998,302.7224299630319,197.93058130149424,182.59814308595247,277.0875890999708,205.3164518487331,123.62271118481226,148.16063480484718,downdog
205.3232070999167,226.904922401294,191.0657758005772,202.20672220522508,189.82393172341585,159.70243022777132,181.6211459136534,182.7296192553214,269.01068926403696,275.02031593963454,30.54757174890701,148.6561903989743,downdog
205.49255655921232,203.65367791136416,193.81092719836943,195.61294733026403,173.04359117190984,181.0154761623018,190.2019144262032,193.2327777654454,273.8045574888808,273.6913859864513,132.2072976342867,46.06749968374021,downdog
197.4853819664862,199.9831065219,189.41172743942423,187.39459624943177,154.00819459607862,209.86189706560012,174.75286109838356,176.55808607785835,283.4052010244181,263.036531473512,183.17983011986425,357.14509520315727,downdog
207.9355021948776,211.4295656148385,196.99384953079988,194.1686284445878,184.13519399285772,176.5515095069087,183.7380914701777,184.9906609104422,267.93425673373554,268.1635593727272,123.41658139531292,56.17383824181473,downdog
188.9427539484097,194.29494413639145,240.7540385956729,225.17534996367448,199.4142564014749,164.16406768909982,175.62659171123008,178.63548625634752,279.8421718998944,273.96075845426,125.95242800009927,52.61854648756894,downdog
226.6805676503137,219.07763697853355,202.55018943064823,192.54533692674656,213.53741483341523,145.7614158451713,160.37764031544583,163.05237738131532,263.9668672112968,258.1623279738401,83.90722834266394,92.62490264048115,downdog
155.07152586453873,151.71413398924915,174.17850683326486,164.59775379325498,178.73580539588195,181.56459433868903,176.27075161607075,177.0155514272778,86.49802492506257,85.4927275423522,82.08583549095232,97.28028908399372,downdog
214.74235586534144,216.68487424320813,189.45197534050592,197.23005271393976,190.84832093923805,164.3385350636332,194.26643109579564,197.4027041313563,254.51624632607587,248.6599961304135,33.93358181964518,145.10929849249518,downdog
208.5679757791411,182.5617062424633,202.8802245510761,205.6889140200997,172.88836113848365,189.67903491727947,182.7387487361094,184.83813601459764,271.7350095638849,261.9177274575039,186.5023686517505,353.44104915172954,downdog
